en_word,uk_word
learn,навчитися
sale,розпродаж
around,навколо
print,друкувати
course,курс
job,робота
canada,Канада
process,обробка
teen,підліток
room,кімната
stock,запас
training,навчання
too,теж
credit,кредит
point,точка
join,з'єднувати
science,наука
men,чоловіки
categories,категорії
advanced,просунутий
west,захід
sales,продаж
look,виглядати
english,англійська мова
left,лівий
team,команда
estate,садиба
box,коробка
conditions,умови
select,обраний
windows,вікна
photos,Фотографії
gay,гей
thread,нитка
week,тиждень
category,категорія
note,Примітка
live,жити
large,великий
gallery,галерея
table,стіл
register,реєстрація
however,однак
june,червень
october,жовтень
november,Листопад
market,ринок
library,бібліотека
really,дійсно
action,дія
start,почати
series,серія
model,модель
features,особливості
air,повітря
industry,промисловість
plan,планувати
human,людський
provided,забезпечений
yes,так
required,вимагається
second,другий
hot,гарячий
accessories,аксесуари
cost,вартість
movie,фільм
forums,форуми
march,марш
september,Вересень
better,краще
say,казати
questions,питання
july,липень
yahoo,Yahoo
going,йдуть
medical,медичний
test,тест
friend,друг
come,прийти
dec,ухвала
server,сервер
study,вивчення
application,застосування
cart,візок
staff,персонал
articles,стаття
san,сан
feedback,зворотний зв'язок
again,знову
play,грати
looking,на вигляд
issues,питання
april,квітень
never,ніколи
users,користувачі
complete,повне
street,вулиця
topic,тема
comment,коментувати
financial,фінансовий
things,речі
working,робочий
against,проти
standard,стандартний
tax,податковий
person,людина
below,внизу
mobile,мобільний
less,менше
got,здобули
blog,блог
party,вечірка
payment,оплата
equipment,обладнання
login,вхід
student,студент
let,дозволяти
programs,програми
offers,пропозиція
legal,юридичний
above,нагорі
recent,недавній
park,парк
stores,магазини
side,бік
act,діяти
problem,проблема
red,червоний
give,давати
memory,пам'ять
performance,виконання
social,соціальний
august,серпень
quote,цитата
language,мова
story,розповідь
sell,продавати
options,варіанти
experience,досвід
rates,тарифи
create,створити
key,ключ
body,тіло
young,молодий
america,Америка
important,важливий
field,поле
few,небагато
east,схід
paper,паперовий
single,поодинокий
age,вік
activities,діяльності
club,клуб
example,приклад
girls,дівчата
additional,додатковий
password,пароль
latest,останній
something,щось
road,дорога
gift,подарунок
question,питання
changes,зміна
night,нічний
hard,важкий
texas,Техас
oct,жовт
pay,оплачувати
four,чотири
poker,покер
status,статус
browse,переглядати
issue,проблема
range,діапазон
building,будівля
seller,продавець
court,суд
february,лютий
always,завжди
result,результат
audio,аудіо
light,світлий
write,писати
war,війна
nov,листопада
offer,пропозиція
blue,блакитний
groups,група
easy,легкий
given,даний
files,файли
event,подія
release,звільнення
analysis,аналіз
request,прохання
fax,факс
china,Китай
making,створення
picture,картина
needs,потреби
possible,можливий
might,могло
professional,професіонал
yet,ще
month,місяць
major,головний
star,зірка
areas,області
future,майбутнє
space,простір
committee,комітет
hand,рука
sun,сонце
cards,картки
problems,проблеми
london,Лондон
washington,Вашингтон
meeting,зустріч
rss,RSS
become,стати
interest,інтерес
child,дитина
keep,тримати
enter,ввести
california,Каліфорнія
porn,порно
share,розподіляти
similar,схожий
garden,сад
schools,школи
million,мільйон
added,доданий
reference,довідка
companies,компанії
listed,перелічений
baby,дитячий
learning,навчання
energy,енергія
run,пробігати
delivery,доставка
net,сітка
popular,популярний
term,термін
film,плівка
stories,розповіді
put,поставити
computers,комп'ютери
journal,журнал
reports,звіти
try,намагатися
welcome,вітати
central,центральний
images,зображення
president,президент
notice,ув'язнення
god,бог
original,оригінальний
head,голова
radio,радіо
until,до
cell,клітина
color,забарвлення
self,я
council,рада
away,геть
includes,включає
track,трек
australia,Австралія
discussion,обговорення
archive,архів
once,раз
others,інші
entertainment,розвага
agreement,Угода
format,формат
least,найменший
society,суспільство
months,місяці
log,журнал
safety,безпека
friends,друзі
sure,упевнений
faq,поширення
trade,торгувати
edition,видання
cars,машина
messages,повідомлення
marketing,маркетинг
tell,розповідати
further,подальший
updated,оновлений
association,асоціація
able,здатний
having,що має
provides,забезпечувати
david,давид
fun,веселий
already,вже
green,зелений
studies,вивчення
close,закривати
common,загальний
drive,драйв
specific,конкретний
several,кілька
gold,золото
feb,лютий
living,живий
sep,сеп
collection,колекція
called,названий
short,короткий
arts,мистецтво
lot,лот
ask,запитувати
display,показувати
limited,обмежений
powered,живистий
solutions,рішення
means,засоби
director,директор
daily,щоденний
beach,Пляжний
past,минулий
natural,природний
whether,чи
due,належить
electronics,електроніка
five,п'ять
upon,на
period,період
planning,планування
database,база даних
says,говорить
official,офіційний
weather,вигадка
mar,марнотратство
land,земля
average,середній
done,зроблений
technical,технічний
window,вікно
france,Франція
pro,професіонал
region,область
island,острів
record,запис
direct,прямий
microsoft,Microsoft
conference,конференція
environment,навколишнє середовище
records,записи
district,район
calendar,календар
costs,витрати
style,стиль
url,URL
front,фронт
statement,заява
update,оновлення
parts,частини
aug,серп
ever,колись
downloads,завантаження
early,ранній
miles,милі
sound,звук
resource,ресурс
present,нинішній
applications,заявки
either,обидва
ago,тому
document,документ
word,слово
works,твори
material,матеріал
bill,законопроект
apr,квітня
written,написаний
talk,розмова
federal,федеральний
hosting,хостинг
rules,правила
final,остаточний
adult,дорослий
tickets,квитки
thing,річ
centre,центр
requirements,вимоги
via,через
cheap,дешевий
nude,оголений
kids,дітям
finance,фінансування
true,правдивий
minutes,хвилини
else,ще
mark,позначати
third,третій
rock,скеля
gifts,подарунки
europe,Європа
reading,читання
topics,теми
bad,поганий
individual,індивідуальний
tips,підказки
plus,плюс
auto,автоматичний
cover,покривати
usually,зазвичай
edit,редагувати
together,разом
videos,відеоролики
percent,відсоток
fast,швидкий
function,функціонування
fact,факт
unit,одиниця
getting,дістатися
global,глобальний
tech,техніка
meet,зустрічатися
far,далеко
economic,економічний
player,гравець
projects,проекти
lyrics,тексти пісень
often,часто
subscribe,підписатися
submit,подавати
germany,Німеччина
amount,обсяг
watch,стежити
included,включений
feel,відчуття
though,хоч
bank,банкнота
risk,ризик
thanks,Дякую
everything,все
deals,угоди
various,різний
words,слів
linux,лінійка
jul,липень
production,виробництво
commercial,комерційний
james,Джеймс
weight,вага
town,місто
heart,серце
advertising,реклама
received,отриманий
choose,вибирати
treatment,лікування
newsletter,бюлетень
archives,архіви
points,очки
knowledge,знання
magazine,журнал
error,помилка
camera,камера
jun,червень
girl,дівчинка
currently,в даний час
construction,будівництво
toys,іграшки
registered,зареєстрований
clear,чіткий
golf,гольф
receive,отримувати
domain,домен
methods,методи
chapter,глава
makes,робити
protection,захист
policies,політика
loan,позика
wide,широкий
beauty,краса
manager,керівник
india,Індія
position,позиція
taken,взято
sort,сортувати
listings,списки
models,моделі
michael,Майкл
known,відомий
half,половина
cases,випадки
step,крок
engineering,інженерний
florida,Флорида
simple,простий
quick,швидкий
none,ні
wireless,бездротовий
license,ліцензія
paul,Павло
friday,п’ятниця
lake,озеро
whole,цілий
annual,щорічний
published,опублікований
later,пізніше
basic,основний
sony,соні
shows,шоу
corporate,корпоративний
google,Google
church,церква
method,метод
purchase,закупівля
customers,клієнти
active,активний
response,реакція
practice,практикувати
hardware,обладнання
figure,фігура
materials,матеріали
fire,вогонь
holiday,свято
chat,чат
enough,достатньо
designed,розроблений
along,на
among,серед
death,смерть
writing,писання
speed,швидкість
html,HTML
countries,країни
loss,втрата
face,обличчя
brand,бренд
discount,знижка
higher,вищий
effects,ефект
created,створений
remember,запам'ятати
standards,стандарти
oil,нафта
bit,вдарити
yellow,жовтий
political,політичний
increase,збільшити
advertise,рекламувати
kingdom,царство
base,базовий
near,близько
environmental,екологічний
thought,думка
stuff,нагода
french,французький
storage,зберігання
japan,Японія
doing,робити
loans,позики
shoes,взуття
entry,вхід
stay,залишатися
nature,природа
orders,замовлення
availability,наявність
africa,Африка
summary,резюме
turn,обертати
mean,середній
growth,зростання
notes,нотатки
agency,агентство
king,король
monday,понеділок
european,європейський
activity,діяльність
copy,копіювати
although,хоч
drug,ліки
pics,фото
western,західний
income,дохід
force,примушувати
cash,готівка
employment,працевлаштування
overall,загальний
bay,затока
river,річка
commission,комісія
package,пакет
contents,вміст
seen,побачений
players,гравці
engine,двигун
port,порт
album,альбом
regional,регіональний
stop,СТІЙ
supplies,запас
started,розпочато
administration,адміністрація
bar,бар
institute,інститут
views,погляди
plans,плани
double,подвійний
dog,пес
build,побудувати
screen,екран
exchange,обмін
types,типи
soon,скоро
sponsored,спонсорований
lines,лінії
electronic,електронний
continue,продовжувати
across,поперек
benefits,вигоди
needed,необхідний
season,сезон
apply,застосовувати
someone,хтось
held,утримується
anything,що -небудь
printer,принтер
condition,хвороба
effective,ефективний
believe,вірити
organization,організація
effect,ефект
asked,запитував
eur,Євро
mind,розум
sunday,неділя
selection,відбір
casino,казино
pdf,PDF
lost,загублений
tour,екскурсія
menu,меню
volume,обсяг
cross,перехрестя
anyone,будь -хто
mortgage,застава
hope,надія
silver,срібний
corporation,корпорація
wish,бажання
inside,всередині
solution,розчин
mature,дозрівати
role,роль
rather,скоріше
weeks,тиждень
addition,додавання
came,прийшов
supply,постачання
nothing,ніщо
certain,певний
usr,USR
executive,виконавчий
running,біг
lower,опускатися
necessary,необхідний
union,союз
jewelry,ювелірні вироби
according,згідно
clothing,одяг
mon,мн
com,com
particular,особливий
fine,штраф
names,імена
robert,Роберт
homepage,домашня сторінка
hour,година
gas,газовий
skills,навички
six,шість
bush,кущ
islands,острови
advice,порада
career,кар'єра
military,військовий
rental,оренда
decision,рішення
leave,залишати
british,британський
teens,підлітки
pre,попередній
huge,величезний
sat,сидіти
woman,жінка
facilities,споруди
zip,блискавка
bid,подавати заявки
kind,вид
sellers,продавці
middle,середина
move,рухатися
cable,кабель
opportunities,можливості
taking,прийом
values,значення
division,дивізіон
coming,прихід
tuesday,у вівторок
object,об'єкт
lesbian,лесбіянка
appropriate,відповідний
machine,машина
logo,логотип
length,довжина
actually,власне
nice,непоганий
score,оцінка
statistics,статистика
client,клієнт
returns,повернення
capital,капітал
follow,дотримуватися
sample,зразок
investment,інвестиції
sent,надісланий
shown,показаний
saturday,субота
christmas,різдвяний
england,Англія
culture,культура
band,гурт
flash,спалах
lead,вести
george,Джордж
choice,вибір
went,пішов
starting,старіння
registration,реєстрація
fri,пт
thursday,четвер
courses,курси
consumer,споживач
airport,аеропорт
foreign,іноземний
artist,художник
outside,зовнішній
furniture,меблі
levels,рівні
channel,канал
letter,літер
mode,режим
phones,телефони
ideas,ідеї
wednesday,середа
structure,структура
fund,фонд
summer,літо
allow,дозволяти
degree,ступінь
contract,договір
button,кнопка
releases,випуск
wed,одружуватися
homes,будинки
super,супер
male,чоловічий
matter,речовина
custom,звичайний
virginia,Вірджинія
almost,майже
took,взяв
located,розташований
multiple,багаторазовий
asian,азіатський
distribution,розподіл
editor,редактор
inn,готель
industrial,промисловий
cause,спричинити
potential,потенціал
song,пісня
cnet,CNET
ltd,ТОВ
los,лос
focus,фокус
late,пізній
fall,падіння
featured,популярний
idea,ідея
rooms,кімнати
female,жіночий
responsible,відповідальний
inc,в т.ч.
communications,комунікація
win,перемогти
associated,пов'язаний
thomas,Томас
primary,первинний
cancer,рак
numbers,чисельність
reason,розум
tool,інструмент
browser,браузер
spring,весна
foundation,фундамент
answer,відповідати
voice,голос
friendly,дружній
schedule,розклад
documents,документи
communication,спілкування
purpose,мета
feature,означати
bed,ліжко
comes,приходить
police,поліція
everyone,всі
independent,незалежний
approach,підходити
cameras,камери
brown,коричневий
physical,фізичний
operating,експлуатаційний
hill,пагорб
maps,Карти
medicine,ліки
deal,угода
hold,утримувати
ratings,рейтинг
chicago,Чикаго
forms,форми
glass,скляний
happy,щасливий
tue,зміст
smith,Сміт
wanted,розшуканий
developed,розвинений
thank,спасибі
safe,безпечний
unique,унікальний
survey,обстеження
prior,попередній
telephone,телефон
sport,спортивний
ready,готовий
feed,годувати
animal,тварина
sources,джерела
mexico,Мексика
population,населення
regular,регулярний
secure,забезпечити
navigation,навігація
operations,операції
therefore,отже
ass,дупа
simply,просто
evidence,доказ
station,станція
christian,християнин
round,круглий
paypal,paypal
favorite,улюблений
understand,зрозуміти
option,опція
master,майстер
valley,долина
recently,нещодавно
probably,ймовірно
thu,Чт
rentals,оренда
sea,море
built,побудований
publications,публікації
blood,кров
cut,вирізати
worldwide,світовий
improve,вдосконалення
connection,з'єднання
publisher,видавець
hall,зал
larger,більший
anti,антигранний
networks,мереж
earth,земля
parents,батьки
nokia,нокія
impact,вплив
transfer,перенесення
introduction,вступ
kitchen,кухня
strong,сильний
tel,тел
carolina,Кароліна
wedding,весілля
properties,властивості
hospital,лікарня
ground,земля
overview,огляд
ship,корабель
accommodation,розміщення
owners,власники
disease,захворювання
excellent,відмінний
paid,оплачений
italy,Італія
perfect,ідеальний
hair,волосся
opportunity,нагода
kit,комплект
classic,класичний
basis,основа
command,командування
cities,міста
william,Вільям
express,виражати
anal,анальний
award,нагорода
distance,відстань
tree,дерево
peter,петра
assessment,оцінка
ensure,забезпечити
thus,таким чином
wall,стіна
involved,задіяний
extra,додатковий
especially,особливо
interface,інтерфейс
pussy,кицька
partners,партнери
budget,бюджет
rated,оцінений
guides,екскурсовод
success,успіх
maximum,максимум
operation,операція
existing,існуючий
quite,досить
selected,обраний
boy,хлопчик
amazon,амазонка
patients,пацієнти
restaurants,ресторани
beautiful,гарний
warning,УВАГА
wine,вино
locations,локації
horse,коня
vote,голосувати
forward,вперед
flowers,квіти
stars,зірки
significant,значний
lists,списки
technologies,технології
owner,власник
retail,роздрібна торгівля
animals,тварини
useful,корисний
directly,безпосередньо
manufacturer,виробник
ways,шляхи
est,est
son,син
providing,надання
rule,правити
mac,Мак
housing,корпус
takes,приймати
iii,III
gmt,gmt
bring,приносити
catalog,каталог
searches,пошуки
max,максимум
trying,намагання
mother,мама
authority,влада
considered,розглянутий
told,розказаний
xml,XML
traffic,рух
programme,програма
joined,об'єднаний
input,введення
strategy,стратегія
feet,стоп
agent,агент
valid,дійсний
bin,смітник
modern,сучасний
senior,старший
ireland,Ірландія
sexy,сексуальний
teaching,викладання
door,дверима
grand,грандіозний
testing,тестування
trial,суд
charge,заряджати
units,одиниці
instead,натомість
canadian,канадський
cool,крутий
normal,нормальний
wrote,писав
enterprise,підприємство
ships,кораблі
entire,цілий
educational,навчальний
leading,провідний
metal,метал
positive,позитивний
fitness,придатність
chinese,китайський
opinion,думка
asia,Азія
football,футбол
abstract,абстрактний
uses,використання
output,випуск
funds,кошти
greater,більший
likely,ймовірно
develop,розвиватися
employees,працівники
artists,художники
alternative,альтернативний
processing,обробка
responsibility,відповідальність
resolution,роздільна здатність
java,ява
guest,гість
seems,здається
publication,публікація
pass,проходити
relations,відносини
trust,довіра
van,фургон
contains,містить
session,сеанс
multi,багаторазовий
photography,фотографія
republic,республіка
fees,збори
components,компоненти
vacation,відпустка
century,століття
academic,академічний
assistance,допомога
completed,завершений
skin,шкіра
graphics,графіка
indian,індійський
prev,попередньо
ads,оголошення
mary,Марії
expected,очікуваний
ring,каблучка
grade,сорт
dating,знайомство
pacific,тихоокеанський
mountain,гора
organizations,організації
pop,поколювати
filter,фільтрувати
mailing,розсилка
vehicle,транспортний засіб
longer,довше
consider,розглянути
int,інт
northern,північний
behind,ззаду
panel,панель
floor,підлога
german,німецький
buying,купівля
match,поєднувати
proposed,запропонований
default,за замовчуванням
require,вимагати
iraq,Ірак
boys,хлопці
outdoor,зовнішній
deep,глибокий
morning,ранковий
otherwise,інакше
allows,дозволити
rest,відпочинок
protein,білок
plant,Рослина
reported,повідомлений
hit,вдарити
transportation,перевезення
pool,басейн
mini,міні
politics,політика
partner,партнер
disclaimer,відмова
authors,автори
boards,дошки
faculty,факультет
parties,вечірки
fish,риба
membership,членство
mission,місія
eye,око
string,нитка
sense,відчуття
modified,модифікований
pack,упаковка
released,випущений
stage,сцена
internal,внутрішній
goods,товари
recommended,рекомендований
born,народжений
unless,якщо тільки не
richard,Річард
detailed,детальний
japanese,японський
race,гонка
approved,затверджений
background,фон
target,цільовий
except,за винятком
character,характер
usb,USB
maintenance,технічне обслуговування
ability,здатність
maybe,може бути
functions,функції
moving,що рухається
brands,бренди
places,місця
php,PHP
pretty,гарненький
trademarks,торгові марки
phentermine,фентермін
spain,Іспанія
southern,південний
yourself,сам
etc,тощо
winter,зима
rape,зґвалтування
battery,акумулятор
youth,молодь
pressure,тиск
submitted,поданий
boston,бостон
incest,інцест
debt,борг
keywords,Ключові слова
medium,середній
television,телевізор
interested,зацікавлений
core,ядро
break,перерва
purposes,цілі
throughout,протягом
sets,набори
dance,танцювати
wood,деревина
msn,MSN
itself,сам
defined,визначений
papers,папери
playing,гра
awards,нагороди
fee,гонорар
studio,студія
reader,читач
virtual,віртуальний
device,пристрій
established,встановлений
answers,відповіді
rent,оренда
las,ЛАС
remote,віддалений
dark,темний
programming,програмування
external,зовнішній
apple,яблук
regarding,стосовно
instructions,інструкції
min,хв
offered,запропонований
theory,теорія
enjoy,насолоджуватися
remove,видалити
aid,допомога
surface,поверхня
minimum,мінімум
visual,візуальний
host,господар
variety,різноманітність
teachers,вчителі
isbn,ISBN
martin,Мартін
manual,посібник
block,блок
subjects,суб'єкти
agents,агенти
increased,збільшений
repair,ремонт
fair,справедливий
civil,цивільний
steel,сталь
understanding,розуміння
songs,пісні
fixed,нерухомий
wrong,неправильний
beginning,початок
hands,руки
associates,співробітники
finally,нарешті
updates,оновлення
desktop,робочий стіл
classes,заняття
paris,Париж
ohio,Огайо
gets,дістатися
sector,сектор
capacity,потужність
requires,вимагає
jersey,трикотаж
fat,жир
fully,повністю
father,батько
electric,електричний
saw,бачив
instruments,інструменти
quotes,цитати
officer,офіцер
driver,водій
businesses,підприємства
dead,мертвий
respect,повага
unknown,невідомий
specified,вказаний
restaurant,ресторан
mike,Майк
trip,поїздка
pst,pst
worth,вартістю
procedures,процедури
poor,бідний
teacher,викладач
xxx,ххх
eyes,очі
relationship,відносини
workers,робітники
farm,господарство
fucking,блядь
georgia,Грузія
peace,мир
traditional,традиційний
campus,кампус
tom,том
showing,показ
creative,творчий
coast,узбережжя
benefit,вигода
progress,прогресувати
funding,фінансування
devices,пристрої
lord,лорд
grant,надавати
sub,суб
agree,погодитися
fiction,вигадка
hear,чути
sometimes,іноді
watches,годинник
careers,кар'єра
beyond,поза
goes,ходити
families,сім'ї
led,світлодіодний
museum,музей
themselves,себе
fan,фанат
transport,транспортувати
interesting,цікавий
blogs,Блоги
wife,дружина
evaluation,оцінка
accepted,прийнятий
former,колишній
implementation,реалізація
ten,десять
hits,хіт
zone,зона
complex,комплекс
cat,кіт
galleries,галереї
references,посилання
die,загинути
presented,представлений
jack,джейм
flat,рівномірний
flow,протікати
agencies,агентства
literature,література
respective,відповідний
parent,батько
spanish,іспанська мова
michigan,Мічиган
columbia,Колумбія
setting,встановлення
scale,масштаб
stand,стояти
economy,економія
highest,найвищий
helpful,корисний
monthly,щомісяця
critical,критичний
frame,рамка
musical,мюзикл
definition,визначення
secretary,секретар
angeles,Анджелес
networking,мереж
path,шлях
australian,австралійський
employee,працівник
chief,начальник
gives,віддавати
bottom,дно
magazines,журнали
packages,пакети
detail,деталь
francisco,Франциско
laws,закони
changed,змінювати
pet,домашня тварина
heard,почув
begin,починати
individuals,особи
colorado,Колорадо
royal,королівський
clean,чистий
switch,перемикач
russian,російський
largest,найбільший
african,африканський
guy,горіх
titles,титули
relevant,відповідний
guidelines,керівні принципи
justice,справедливість
connect,з'єднувати
bible,Біблія
dev,ов
cup,чашка
basket,кошик
applied,застосований
weekly,щотижня
vol,об'єднання
installation,встановлення
described,описаний
demand,вимога
suite,люкс
vegas,Вегас
square,Майдан
chris,Кріс
attention,увага
advance,просуватися
skip,пропустити
diet,дієта
army,армія
auction,аукціон
gear,спорядження
lee,лай
difference,різниця
allowed,дозволений
correct,виправляти
charles,Чарльз
nation,нація
selling,продаж
lots,багато
piece,шматок
sheet,аркуш
firm,фірма
seven,сім
older,старший
illinois,Іллінойс
regulations,правила
elements,елементи
species,види
jump,стрибати
cells,клітини
module,модуль
resort,прибуток
facility,об'єкт
random,випадковий
pricing,ціноутворення
dvds,DVD -диски
certificate,сертифікат
minister,міністр
motion,рух
looks,погляди
fashion,мода
directions,напрямки
visitors,відвідувачі
documentation,документація
monitor,моніторинг
trading,торгівля
forest,лісовий
calls,дзвінок
whose,чиї
coverage,покриття
couple,пара
giving,надання
chance,шанс
vision,бачення
ball,куля
ending,закінчення
clients,клієнти
actions,дії
listen,слухати
discuss,обговорювати
accept,приймати
automotive,автомобільний
naked,голий
goal,ціль
successful,успішний
sold,проданий
wind,вітер
communities,громади
clinical,клінічний
situation,ситуація
sciences,наук
markets,ринки
lowest,найнижчий
highly,високо
publishing,видавництво
appear,з’являтися
emergency,надзвичайний
developing,що розвивається
lives,життя
currency,валюта
leather,шкіряний
determine,визначати
milf,матуся
temperature,температура
palm,долонь
announcements,оголошення
patient,пацієнт
actual,фактичний
historical,історичний
stone,камінь
bob,бити
commerce,комерція
ringtones,мелодії мелодії
perhaps,можливо
persons,осіб
difficult,важкий
scientific,науковий
satellite,супутник
fit,підходити
tests,тест
village,село
accounts,рахунки
amateur,аматор
met,зустрінетний
pain,біль
xbox,xbox
particularly,особливо
factors,фактори
coffee,кава
www,www
settings,налаштування
cum,сперма
buyer,покупець
cultural,культурний
steve,Стів
easily,легко
oral,усний
ford,форт
poster,плакат
edge,обрізати
functional,функціональний
root,корінь
closed,ЗАЧИНЕНО
holidays,свята
ice,крижаний
pink,рожевий
zealand,Зеландія
balance,балансувати
monitoring,моніторинг
graduate,випускник
replies,відповіді
shot,постріл
architecture,архітектура
initial,початковий
label,етикетка
thinking,мислення
scott,Скотт
llc,ТОВ
sec,секція
recommend,рекомендувати
canon,канон
hardcore,хардкор
league,ліга
waste,витрачати
minute,хвилина
bus,автобус
provider,постачальник
optional,необов'язковий
dictionary,словник
cold,холодний
accounting,бухгалтерський облік
manufacturing,виробництво
sections,розділи
chair,крісло
fishing,риболовля
effort,зусилля
phase,фаза
fields,поля
bag,мішок
fantasy,фантазія
letters,букви
motor,двигун
professor,професор
context,контекст
install,встановити
shirt,сорочка
apparel,одяг
generally,загалом
continued,продовжений
foot,стоп
mass,маса
crime,злочин
count,рахувати
breast,грудка
techniques,техніка
ibm,IBM
johnson,Джонсон
quickly,швидко
dollars,долари
websites,Веб -сайти
religion,релігія
claim,претензія
driving,водіння
permission,дозвіл
surgery,хірургія
patch,петля
heat,спека
wild,дивний
measures,заходи
generation,покоління
kansas,Канзас
miss,міс
chemical,хімічний
doctor,лікар
task,завзяти
reduce,зменшувати
brought,приносять
himself,сам
nor,не
component,компонент
enable,ввімкнути
exercise,вправа
bug,помилка
santa,Санта
mid,середина
guarantee,гарантія
leader,лідер
diamond,алмаз
israel,Ізраїль
processes,процеси
soft,м'який
servers,сервери
alone,самотній
meetings,зустрічі
seconds,секунди
jones,Джонс
arizona,Арізона
keyword,ключове слово
interests,інтереси
flight,виліт
congress,конгрес
fuel,паливо
username,Ім'я користувача
walk,ходити
fuck,ебать
produced,вироблений
italian,італійський
paperback,М'яка обкладинка
classifieds,Класифіковані
wait,чекати
supported,підтриманий
pocket,кишеньковий
saint,святий
rose,троянда
freedom,свобода
argument,аргумент
competition,змагання
creating,створення
jim,джим
drugs,наркотики
joint,суглоб
premium,премія
providers,провайдери
fresh,свіжий
characters,персонажі
attorney,адвокат
upgrade,оновлення
factor,фактор
growing,зростаючий
thousands,тисячі
